File name: 250-60-125
Result: 55
Gen 1: 58
Gen 2: 58
Gen 3: 58
Gen 4: 58
Gen 5: 58
Gen 6: 58
Gen 7: 58
Gen 8: 58
Gen 9: 58
Gen 10: 58
Gen 11: 58
Gen 12: 58
Gen 13: 58
Gen 14: 58
Gen 15: 58
Gen 16: 58
Gen 17: 58
Gen 18: 55
Gen 19: 55
Gen 20: 55
Gen 21: 55
Gen 22: 55
Gen 23: 55
Gen 24: 55
Gen 25: 55
Gen 26: 55
Gen 27: 55
Gen 28: 55
Gen 29: 55
Gen 30: 55
Gen 31: 55
Gen 32: 55
Gen 33: 55
Gen 34: 55
Gen 35: 55
Gen 36: 55
Gen 37: 55
Gen 38: 55
Gen 39: 55
Gen 40: 55
Gen 41: 55
Gen 42: 55
Gen 43: 55
Gen 44: 55
Gen 45: 55
Gen 46: 55
Gen 47: 55
Gen 48: 55
Gen 49: 55
Gen 50: 55
Gen 51: 55
Gen 52: 55
Gen 53: 55
Gen 54: 55
Gen 55: 55
Gen 56: 55
Gen 57: 55
Gen 58: 55
Gen 59: 55
Gen 60: 55
Gen 61: 55
Gen 62: 55
Gen 63: 55
Gen 64: 55
Gen 65: 55
Gen 66: 55
Gen 67: 55
Gen 68: 55
Gen 69: 55
Gen 70: 55
Gen 71: 55
Gen 72: 55
Gen 73: 55
Gen 74: 55
Gen 75: 55
Gen 76: 55
Gen 77: 55
Gen 78: 55
Gen 79: 55
Gen 80: 55
Gen 81: 55
Gen 82: 55
Gen 83: 55
Gen 84: 55
Gen 85: 55
Gen 86: 55
Gen 87: 55
Gen 88: 55
Gen 89: 55
Gen 90: 55
Gen 91: 55
Gen 92: 55
Gen 93: 55
Gen 94: 55
Gen 95: 55
Gen 96: 55
Gen 97: 55
Gen 98: 55
Gen 99: 55
Gen 100: 55
Gen 101: 55
Gen 102: 55
Gen 103: 55
Gen 104: 55
Gen 105: 55
Gen 106: 55
Gen 107: 55
Gen 108: 55
Gen 109: 55
Gen 110: 55
Gen 111: 55
Gen 112: 55
Gen 113: 55
Gen 114: 55
Gen 115: 55
Gen 116: 55
Gen 117: 55
Gen 118: 55
Gen 119: 55
Gen 120: 55
Gen 121: 55
Gen 122: 55
Gen 123: 55
Gen 124: 55
Gen 125: 55
Gen 126: 55
Gen 127: 55
Gen 128: 55
Gen 129: 55
Gen 130: 55
Gen 131: 55
Gen 132: 55
Gen 133: 55
Gen 134: 55
Gen 135: 55
Gen 136: 55
Gen 137: 55
Gen 138: 55
Gen 139: 55
Gen 140: 55
Gen 141: 55
Gen 142: 55
Gen 143: 55
Gen 144: 55
Gen 145: 55
Gen 146: 55
Gen 147: 55
Gen 148: 55
Gen 149: 55
Gen 150: 55
Gen 151: 55
Gen 152: 55
Gen 153: 55
Gen 154: 55
Gen 155: 55
Gen 156: 55
Gen 157: 55
Gen 158: 55
Gen 159: 55
Gen 160: 55
Gen 161: 55
Gen 162: 55
Gen 163: 55
Gen 164: 55
Gen 165: 55
Gen 166: 55
Gen 167: 55
Gen 168: 55
Gen 169: 55
Gen 170: 55
Gen 171: 55
Gen 172: 55
Gen 173: 55
Gen 174: 55
Gen 175: 55
Gen 176: 55
Gen 177: 55
Gen 178: 55
Gen 179: 55
Gen 180: 55
Gen 181: 55
Gen 182: 55
Gen 183: 55
Gen 184: 55
Gen 185: 55
Gen 186: 55
Gen 187: 55
Gen 188: 55
Gen 189: 55
Gen 190: 55
Gen 191: 55
Gen 192: 55
Gen 193: 55
Gen 194: 55
Gen 195: 55
Gen 196: 55
Gen 197: 55
Gen 198: 55
Gen 199: 55
Gen 200: 55
Gen 201: 55
Gen 202: 55
Gen 203: 55
Gen 204: 55
Gen 205: 55
Gen 206: 55
Gen 207: 55
Gen 208: 55
Gen 209: 55
Gen 210: 55
Gen 211: 55
Gen 212: 55
Gen 213: 55
Gen 214: 55
Gen 215: 55
Gen 216: 55
Gen 217: 55
Gen 218: 55
Gen 219: 55
Gen 220: 55
Gen 221: 55
Gen 222: 55
Gen 223: 55
Gen 224: 55
Gen 225: 55
Gen 226: 55
Gen 227: 55
Gen 228: 55
Gen 229: 55
Gen 230: 55
Gen 231: 55
Gen 232: 55
Gen 233: 55
Gen 234: 55
Gen 235: 55
Gen 236: 55
Gen 237: 55
Gen 238: 55
Gen 239: 55
Gen 240: 55
Gen 241: 55
Gen 242: 55
Gen 243: 55
Gen 244: 55
Gen 245: 55
Gen 246: 55
Gen 247: 55
Gen 248: 55
Gen 249: 55
Gen 250: 55
Gen 251: 55
Gen 252: 55
Gen 253: 55
Gen 254: 55
Gen 255: 55
Gen 256: 55
Gen 257: 55
Gen 258: 55
Gen 259: 55
Gen 260: 55
Gen 261: 55
Gen 262: 55
Gen 263: 55
Gen 264: 55
Gen 265: 55
Gen 266: 55
Gen 267: 55
Gen 268: 55
Gen 269: 55
Gen 270: 55
Gen 271: 55
Gen 272: 55
Gen 273: 55
Gen 274: 55
Gen 275: 55
Gen 276: 55
Gen 277: 55
Gen 278: 55
Gen 279: 55
Gen 280: 55
Gen 281: 55
Gen 282: 55
Gen 283: 55
Gen 284: 55
Gen 285: 55
Gen 286: 55
Gen 287: 55
Gen 288: 55
Gen 289: 55
Gen 290: 55
Gen 291: 55
Gen 292: 55
Gen 293: 55
Gen 294: 55
Gen 295: 55
Gen 296: 55
Gen 297: 55
Gen 298: 55
Gen 299: 55
Gen 300: 55
